CompanyName,CIK
2U INC,0001459417
30DC INC,0001118974
3D PIONEER SYSTEMS INC,0001556753
8X8 INC,0001023731
A10 NETWORKS INC,0001580808
ACI WORLDWIDE INC,0000935036
ACTUA CORP,0001085621
ADEXA INC,0001119691
ADOBE INC,0000796343
ADVANCED VOICE RECOGNITION,0001342936
ADVANT-E CORP,0001407847
ADVANTEGO CORP,0000869531
AGILYSYS INC,0000078749
ALARM.COM HOLDINGS INC,0001459200
ALLDIGITAL HOLDINGS INC,0001389217
ALTAIR ENGINEERING INC,0001701732
ALTERYX INC,0001689923
ANAPLAN INC,0001540755
ANSYS INC,0001013462
APPFOLIO INC,0001433195
APPIAN CORP,0001441683
APPLIED VISUAL SCIENCES INC,0000873198
APT SYSTEMS INC,0001543739
ASANA INC,0001477720
ASPEN TECHNOLOGY INC,0000929940
ASURE SOFTWARE INC,0000884144
AUDIOEYE INC,0001362190
AUTODESK INC,0000769397
AUTOMATIC DATA PROCESSING,0000008670
AVALARA INC,0001348036
AWARE INC,0001015739
BARRACUDA NETWORKS INC,0001348334
BENEFITFOCUS INC,0001576169
BENTLEY SYSTEMS INC,0001031308
BILL.COM HOLDINGS INC,0001786352
BLACK BOX CORP,0000849547
BLACKBAUD INC,0001280058
BLACKBOXSTOCKS INC,0001567900
BLACKLINE INC,0001666134
BOTTOMLINE TECHNOLOGIES INC,0001073349
BOX INC,0001345423
BOXLIGHT CORP,0001624512
BRAVATEK SOLUTIONS INC,0001449574
BRIDGELINE DIGITAL INC,0001378590
BRIDGEWAY NATIONAL CORP,0001567771
B-SCADA INC,0001341878
BSQUARE CORP,0001054721
BUSYBOX.COM INC,0001088316
CADENCE DESIGN SYSTEMS INC,0000813672
CDK GLOBAL INC,0001609702
CERENCE INC,0001768267
CERIDIAN CORP,0001124887
CERIDIAN HCM HOLDING,0001725057
CHANGSHENG INTERNATIONAL GRO,0001451797
CHANNELADVISOR CORP,0001169652
CICERO INC,0000945384
CIMETRIX INC,0000786620
CIPHERLOC CORP,0001022505
CITRIX SYSTEMS INC,0000877890
CLEANSPARK INC,0000827876
CLICKSTREAM CORP,0001393548
CLONE ALGO TECHNOLOGIES INC,0001582589
CLOUDERA INC,0001535379
CLOUDFLARE INC,0001477333
CODE REBEL CORP,0001613011
COM GUARD.COM INC,0001103759
COMMVAULT SYSTEMS INC,0001169561
CORNERSTONE ONDEMAND INC,0001401680
COUPA SOFTWARE INC,0001385867
CROWDSTRIKE HOLDINGS INC,0001535527
CYBERFORT SOFTWARE INC,0001522787
CYREN LTD,0001084577
DATADOG INC,0001561550
DATTO HOLDING CORP,0001724570
DEALERADVANCE INC,0001133598
DIGILITI MONEY GROUP INC,0001487906
DIGIMARC CORP,0001089443
DIGITAL TURBINE INC,0000317788
DOCUSIGN INC,0001261333
DOMO INC,0001505952
DROPBOX INC,0001467623
DYNATRACE INC,0001773383
E2OPEN INC,0001540400
EBIX INC,0000814549
ECOARK HOLDINGS INC,0001437491
EGAIN CORP,0001066194
ELASTIC NETWORKS INC,0001088242
ELCOM INTERNATIONAL INC,0000900096
ENTERPRISE INFORMATICS INC,0000813747
ENVESTNET INC,0001337619
EVERBRIDGE INC,0001437352
EVOLVING SYSTEMS INC,0001052054
EZENIA INC,0000943894
FAIR ISAAC CORP,0000814547
FALCONSTOR SOFTWARE INC,0000922521
FANTASY ACES DAILY FANTASY,0001653115
FASTLY INC,0001517413
FIREEYE INC,0001370880
FIVE9 INC,0001288847
FORTINET INC,0001262039
FRIENDFINDER NETWORKS INC,0001451951
