CIK,CompanyName
1459417.0,2U INC
1023731.0,8X8 INC
1580808.0,A10 NETWORKS INC
935036.0,ACI WORLDWIDE INC
796343.0,ADOBE INC
1342936.0,ADVANCED VOICE RECOGNITION
78749.0,AGILYSYS INC
1459200.0,ALARM.COM HOLDINGS INC
1701732.0,ALTAIR ENGINEERING INC
1689923.0,ALTERYX INC
713425.0,AMERICAN SOFTWARE  -CL A
1540755.0,ANAPLAN INC
1013462.0,ANSYS INC
1433195.0,APPFOLIO INC
1441683.0,APPIAN CORP
1477720.0,ASANA INC
929940.0,ASPEN TECHNOLOGY INC
884144.0,ASURE SOFTWARE INC
1362190.0,AUDIOEYE INC
769397.0,AUTODESK INC
8670.0,AUTOMATIC DATA PROCESSING
1348036.0,AVALARA INC
1418100.0,AVAYA HLDGS CORP
1015739.0,AWARE INC
1576169.0,BENEFITFOCUS INC
1031308.0,BENTLEY SYSTEMS INC
1626450.0,BIGCOMMERCE HOLDIN INC
1786352.0,BILL.COM HOLDINGS INC
1019034.0,BIO-KEY INTERNATIONAL INC
1280058.0,BLACKBAUD INC
1567900.0,BLACKBOXSTOCKS INC
1666134.0,BLACKLINE INC
1073349.0,BOTTOMLINE TECHNOLOGIES INC
1624512.0,BOXLIGHT CORP
1378590.0,BRIDGELINE DIGITAL INC
1567771.0,BRIDGEWAY NATIONAL CORP
1054721.0,BSQUARE CORP
813672.0,CADENCE DESIGN SYSTEMS INC
1609702.0,CDK GLOBAL INC
1768267.0,CERENCE INC
1725057.0,CERIDIAN HCM HOLDING
1451797.0,CHANGSHENG INTERNATIONAL GRO
1169652.0,CHANNELADVISOR CORP
945384.0,CICERO INC
1022505.0,CIPHERLOC CORP
877890.0,CITRIX SYSTEMS INC
827876.0,CLEANSPARK INC
1393548.0,CLICKSTREAM CORP
1535379.0,CLOUDERA INC
1477333.0,CLOUDFLARE INC
1169561.0,COMMVAULT SYSTEMS INC
1401680.0,CORNERSTONE ONDEMAND INC
1385867.0,COUPA SOFTWARE INC
1535527.0,CROWDSTRIKE HOLDINGS INC
1084577.0,CYREN LTD
1561550.0,DATADOG INC
1724570.0,DATTO HOLDING CORP
317788.0,DIGITAL TURBINE INC
1261333.0,DOCUSIGN INC
1505952.0,DOMO INC
1467623.0,DROPBOX INC
1160951.0,DUCK CREEK TECHNOL INC
1773383.0,DYNATRACE INC
814549.0,EBIX INC
1437491.0,ECOARK HOLDINGS INC
1066194.0,EGAIN CORP
1707753.0,ELASTIC NV
1337619.0,ENVESTNET INC
1437352.0,EVERBRIDGE INC
1052054.0,EVOLVING SYSTEMS INC
814547.0,FAIR ISAAC CORP
922521.0,FALCONSTOR SOFTWARE INC
1517413.0,FASTLY INC
1370880.0,FIREEYE INC
1288847.0,FIVE9 INC
1262039.0,FORTINET INC
1064722.0,GIVEMEPOWER CORP
944480.0,GSE SYSTEMS INC
1682325.0,GTY TECHNOLOGY HOLDINGS
1528396.0,GUIDEWIRE SOFTWARE INC
1021435.0,HOPTO INC
1404655.0,HUBSPOT INC
837852.0,IDEANOMICS INC
941685.0,IMAGEWARE SYSTEMS INC
320340.0,INTELLIGENT SYSTEM CORP
1081745.0,INTELLINETICS INC
736012.0,INTRUSION INC
896878.0,INTUIT INC
829323.0,INUVO INC
727634.0,ISIGN SOLUTIONS INC
843006.0,ISSUER DIRECT CORP
1084048.0,J2 GLOBAL INC
807882.0,JACK IN THE BOX INC
1721947.0,JAMF HOLDING CORP
1800667.0,JFROG LTD
1102993.0,LIVEPERSON INC
1056696.0,MANHATTAN ASSOCIATES INC
1389002.0,MARIN SOFTWARE INC
1353499.0,MAX SOUND CORP
1540184.0,MEDALLIA INC
1001601.0,MGT CAPITAL INVESTMENTS INC
789019.0,MICROSOFT CORP
1050446.0,MICROSTRATEGY INC
807863.0,MITEK SYSTEMS INC
1576914.0,MIX TELEMATICS LTD
1470099.0,MOBILEIRON INC
1118417.0,MODEL N INC
1441816.0,MONGODB INC
1566895.0,NCINO INC
1039280.0,NETSOL TECHNOLOGIES INC
1448056.0,NEW RELIC INC
849399.0,NORTONLIFELOCK INC
1002517.0,NUANCE COMMUNICATIONS INC
1618732.0,NUTANIX INC
746210.0,OBLONG INC
1660134.0,OKTA INC
1044777.0,ONESPAN INC
1568100.0,PAGERDUTY INC
1017655.0,PAID INC
1321655.0,PALANTIR TECHNOLOG INC
1327567.0,PALO ALTO NETWORKS INC
1084384.0,PARETEUM CORP
50471.0,PARK CITY GROUP INC
723531.0,PAYCHEX INC
1590955.0,PAYCOM SOFTWARE INC
1591698.0,PAYLOCITY HOLDING CORP
1013857.0,PEGASYSTEMS INC
1679826.0,PING IDENTITY HOLDING CORP
1725579.0,PLURALSIGHT INC
876167.0,PROGRESS SOFTWARE CORP
1212458.0,PROOFPOINT INC
1392972.0,PROS HOLDINGS INC
857005.0,PTC INC
1410384.0,Q2 HOLDINGS INC
1036188.0,QAD INC
1107843.0,QUALYS INC
892482.0,QUMU CORP
1560327.0,RAPID7 INC
1046327.0,REALNETWORKS INC
1286225.0,REALPAGE INC
1384905.0,RINGCENTRAL INC
