,rider_provider,GrossProfit,GrossMargin,WorkingCapitalRatio,EarningPerShare,DebtToEquityRatio,PEratio,ReturnOfEquity,EBIDTAratio,EvRatio,EVbyEbidta,ChurnRate,GrowthRate,ProfitMargin,RuleOf40,MarketCap,MagicNumber,wce_label,eps_label,de_label,pe_label,roe_label,growth_rate_label,profitm_label,grossm_label,ro40_label,churnrate_label,EVbyEbidta_label,marketCap_label,magicNum_label
1,1459417_2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1459417_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1023731_2021,352262000.0,0.6617187382594714,2.2782794246074247,-0.41264587243255446,0.160628762524102,-70.4478148021495,-5.959692606164551,-146149000.0,,,-0.0,-0.0,-0.0,-0.0,3172546891.8,-0.25007496584889105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,1.0,0.0
1,1023731_2020,301224000.0,0.6750314294870214,2.245590439538181,,0.19733034466660485,,-5.478245298765416,-159819000.0,,,-0.0,-0.0,-0.0,-0.0,,-0.2362891602821816,0.0,,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,,,0.0
1,1580808_2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,935036_2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,935036_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,796343_2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,796343_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1342936_2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1342936_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,78749_2021,89376000.0,0.6515425438852277,2.184390419829183,,0.7636962291551905,,-26.292002604036256,,,,-0.0,-0.0,-0.0,-0.0,,-0.43935146443514644,0.0,,1.0,,0.0,0.0,0.0,1.0,0.0,1.0,,,0.0
1,1459200_2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
