cik_date,GrossProfit,GrossMargin,WorkingCapitalRatio,EarningPerShare,DebtToEquityRatio,PEratio,ReturnOfEquity,EBIDTAratio,EvRatio,EVbyEbidta,ChurnRate,GrowthRate,ProfitMargin,RuleOf40,MarketCap,MagicNumber,wce_label,eps_label,de_label,pe_label,roe_label,growth_rate_label,profitm_label,grossm_label,ro40_label,churnrate_label,EVbyEbidta_label,marketCap_label,magicNum_label
1459417_2019,,,1.67323698,-0.339064057,0.130246146,-70.75359214,-1.800098382,,,,0,0,0,0,1525022925,,1,0,0,0,0,0,0,,0,1,,0,
1459417_2020,,,2.548277155,-2.9879842,0.144159327,-13.39029838,-13.1475415,,,,9.043796975,904.3796975,904.3796975,1808.759395,2898785355,,0,0,0,0,0,1,1,,1,0,,1,
1459417_2021,,,1.18094073,-2.571010051,0.192153503,-7.806270532,-11.22164427,,,,-0.100321502,-10.03215018,-10.03215018,-20.06430036,1520396086,,0,0,0,0,0,0,0,,0,1,,0,
1023731_2020,301224000,0.675031429,2.24559044,-0.332093991,0.197330345,-41.73517254,-5.478245299,-159819000,,,0,0,0,0,1430055687,-0.23628916,0,0,0,0,0,0,0,1,0,1,,0,0
1023731_2021,352262000,0.661718738,2.278279425,-0.412645872,0.160628763,-70.4478148,-5.959692606,-146149000,,,0.314285714,31.42857143,31.42857143,62.85714286,3172546892,-0.310551468,0,0,0,0,0,0,1,1,1,1,,1,0
1580808_2020,175379000,0.777640815,2.248125812,0.233358657,0.253281759,42.25255725,4.186739485,67881000,,,0,0,0,0,752771560,0.355268406,0,0,0,1,0,0,0,1,0,1,,0,0
1580808_2021,196537000,0.786015949,2.446646854,1.225566046,0.260259845,13.52844267,21.27344267,86893000,,,4.325942973,432.5942973,432.5942973,865.1885945,1283673340,1.892139268,0,1,0,1,1,1,1,1,1,0,,0,1
935036_2019,,,1.504005229,0.578188717,0.541564009,65.5235893,5.934858332,,,,0,0,0,0,4394142946,,1,0,1,1,0,0,0,,0,1,,1,
935036_2020,,,1.275295521,0.620430743,0.750544714,61.94083773,6.021894634,,,,0.083474993,8.347499329,8.347499329,16.69499866,4500621270,,0,0,1,1,0,0,0,,0,1,,1,
935036_2021,,,1.243025638,1.104216272,0.605855507,31.4250033,10.26617619,,,,0.758753097,75.87530966,75.87530966,151.7506193,4015832596,,0,1,1,1,0,1,1,,1,1,,1,
