cik_date,GrossProfit,GrossMargin,WorkingCapitalRatio,EarningPerShare,DebtToEquityRatio,PEratio,ReturnOfEquity,EBIDTAratio,EvRatio,EVbyEbidta,ChurnRate,GrowthRate,ProfitMargin,RuleOf40,MarketCap,MagicNumber,wce_label,eps_label,de_label,pe_label,roe_label,growth_rate_label,profitm_label,grossm_label,ro40_label,churnrate_label,EVbyEbidta_label,marketCap_label,magicNum_label,aggregate,predicted_aggregate
1262039_2020,2024.4,0.7802960222016652,1.4978955998906809,3.006153846153846,1.515490390987409,49.40864892528148,40.46554009277667,1101.8000000000002,7935446017.817999,4.57341263382835,0.0,0.0,0.0,0.0,24136.125,0.8570175438596491,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.38461538461538464,0.38488433
1262039_2021,2559.2,0.7657231763509066,1.5532548207583798,3.745679012345679,1.8482698134268856,95.95056031641398,48.38143836708658,1433.4,7935446017.817999,4.57341263382835,0.2421699078812691,24.21699078812691,24.21699078812691,48.43398157625382,58222.8,1.0645614035087718,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.6923076923076923,0.69189477
944480_2018,23604000.0,0.2545646711171985,1.567398119122257,0.0,0.2858496121252464,inf,0.0,70959000.0,7935446017.817999,4.57341263382835,-21458.24058952063,-2145824.058952063,-2145824.058952063,-4291648.117904126,41761721.4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.15349561
944480_2019,20298000.0,0.2446278999698704,0.8938258697798688,0.0,0.4336775818639798,inf,0.0,55258000.0,7935446017.817999,4.57341263382835,-21458.24058952063,-2145824.058952063,-2145824.058952063,-4291648.117904126,33396085.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.077298045
944480_2020,14785000.0,0.2565949323151683,0.8728643917880918,0.0,0.2695671815980022,inf,0.0,33297000.0,7935446017.817999,4.57341263382835,-21458.24058952063,-2145824.058952063,-2145824.058952063,-4291648.117904126,27183628.56,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.098251015
1528396_2019,395164000.0,0.5492096053725153,5.747459874629745,0.277871306770607,0.1475491376260083,inf,12.380259717021215,308274000.0,7935446017.817999,4.57341263382835,-21458.24058952063,-2145824.058952063,-2145824.058952063,-4291648.117904126,8384941336.639999,-1.2083964559559142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.15384615384615385,0.162231
1528396_2020,404292000.0,0.5446425804956709,5.964608921926483,0.277871306770607,0.1359260922470738,inf,12.380259717021215,314129000.0,7935446017.817999,4.57341263382835,-21458.24058952063,-2145824.058952063,-2145824.058952063,-4291648.117904126,9820130095.5,-1.2083964559559142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.15384615384615385,0.1530982
1528396_2021,368213000.0,0.4953980198232936,4.512893171813502,0.277871306770607,0.1856995159546971,inf,12.380259717021215,269470000.0,7935446017.817999,4.57341263382835,-21458.24058952063,-2145824.058952063,-2145824.058952063,-4291648.117904126,9583966886.4,-1.2083964559559142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.07692307692307693,0.15265402
1021435_2018,3007600.0,0.953764191031902,0.6227548064261259,-0.0032026437109869,0.0239412748334766,-71.03506369426752,-0.0395973679099903,-14500.0,7935446017.817999,4.57341263382835,-0.0,-0.0,-0.0,-0.0,2230501.0,-0.2153635116598079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.15384615384615385,0.22003153
1021435_2019,3380300.0,0.9575649415030736,1.0575043777890754,0.0563607068972775,0.0222613441309801,7.09714306332311,0.697026665073846,690000.0,7935446017.817999,4.57341263382835,-18.65286624203822,-1865.286624203822,-1865.286624203822,-3730.573248407644,3933946.4,3.801783264746228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.23076923076923078,0.2305116
1021435_2020,3489000.0,0.9574643249176727,3.1042641872395,0.0367997432452684,0.0189823650846203,12.771828239873145,0.8443774709330634,804100.0,7935446017.817999,4.57341263382835,0.2514883637019664,25.14883637019664,25.14883637019664,50.29767274039328,8859817.25,4.630841121495327,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.38461538461538464,0.38491842
1404655_2018,412623000.0,0.8043646925806074,3.005868975439751,-1.6241221374045802,0.4019090804262448,-77.41412859560067,-10.82366188011694,52099000.0,7935446017.817999,4.57341263382835,-0.0,-0.0,-0.0,-0.0,4941189000.0,-0.6360094462767919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.23076923076923078,0.2313149
1404655_2019,544902000.0,0.8074296891207066,3.441122022766668,-1.2512163892445582,0.3076069745702894,-126.67672943102744,-5.126576241439173,82967000.0,7935446017.817999,4.57341263382835,-0.157955756094504,-15.7955756094504,-15.7955756094504,-31.5911512189008,6808367500.0,-0.5355480933068943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.23076923076923078,0.23074278
1404655_2020,716067000.0,0.8109240271520883,3.270297934235838,-1.8438902743142145,0.3589371937861706,-215.00194752502028,-6.850891137131425,116131000.0,7935446017.817999,4.57341263382835,0.5820898299408328,58.20898299408328,58.20898299408328,116.41796598816656,18281830600.0,-0.6542960033241508,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.38461538461538464,0.38443393
941685_2018,4162982395.0178943,0.7313169059725364,1.8003120124804992,-0.1676073228487417,0.0208874164992125,-5.310030521776104,-8.94096562211481,329243984.2387387,7935446017.817999,4.57341263382835,-0.0,-0.0,-0.0,-0.0,87419032.48,-1.2083964559559142,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.15384615384615385,0.15295795
941685_2019,4162982395.0178943,0.7313169059725364,0.6062410671748452,-0.15219706176651,0.0215194869770708,-2.201093740652716,-8.843084083883964,329243984.2387387,7935446017.817999,4.57341263382835,0.0478649091903055,4.786490919030554,4.786490919030554,9.572981838061107,37971068.120000005,-1.2083964559559142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07692307692307693,0.077281535
941685_2020,4162982395.0178943,0.7313169059725364,0.3212544287368015,-0.0607919569464564,0.1472073616590585,-1.2912892419163318,-5.653440191684052,329243984.2387387,7935446017.817999,4.57341263382835,-0.3653701234711031,-36.53701234711031,-36.53701234711031,-73.07402469422063,14137034.6205,-1.2083964559559142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07692307692307693,0.07737303
320340_2018,4162982395.0178943,0.7313169059725364,7.573960880195599,0.7080980377836759,0.1262296979283206,18.246061012171683,24.088576829597624,329243984.2387387,7935446017.817999,4.57341263382835,0.0,0.0,0.0,0.0,113928404.96,-1.2083964559559142,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.23076923076923078,0.2313864
320340_2019,4162982395.0178943,0.7313169059725364,5.825771031810108,1.2290212603086974,0.1660811499369787,32.49740365758045,29.4161817157875,329243984.2387387,7935446017.817999,4.57341263382835,0.7567264573991032,75.67264573991032,75.67264573991032,151.34529147982065,356464020.72,-1.2083964559559142,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5384615384615384,0.505846
320340_2020,4162982395.0178943,0.7313169059725364,4.222719141323792,0.9184319650786532,0.2278997078208874,43.67226046685455,18.48429254150529,329243984.2387387,7935446017.817999,4.57341263382835,-0.2559941653751481,-25.599416537514813,-25.599416537514813,-51.198833075029626,356409317.67,-1.2083964559559142,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.23076923076923078,0.2485969
320340_2021,4162982395.0178943,0.7313169059725364,3.394176725329402,1.0401832490104794,0.2473674613666408,37.30111981413873,20.602178967041983,329243984.2387387,7935446017.817999,4.57341263382835,0.1075848547972062,10.758485479720624,10.758485479720624,21.516970959441245,337164822.0,-1.2083964559559142,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3076923076923077,0.30688676
1081745_2018,4162982395.0178943,0.7313169059725364,1.1150997054786755,-0.1319997985269795,0.0881974632413948,-0.7575769138735535,-16.596012044142945,-732374.0,7935446017.817999,4.57341263382835,-0.0,-0.0,-0.0,-0.0,1772942.1,-1.2083964559559142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07692307692307693,0.07719535
1081745_2019,4162982395.0178943,0.7313169059725364,0.1193146356926055,-5.757890077382543,0.5080186095905834,-0.012157231044574,-14.826518527579392,-584749.0,7935446017.817999,4.57341263382835,-0.0884505272873331,-8.845052728733314,-8.845052728733314,-17.69010545746663,25934.79,-1.2083964559559142,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.15384615384615385,0.15366814
1081745_2020,4162982395.0178943,0.7313169059725364,0.9560677166379584,-0.782748726815411,0.1501186375990744,-6.017256673367569,-9.111510895046308,1224409.0,7935446017.817999,4.57341263382835,0.031369519533526,3.1369519533526056,3.1369519533526056,6.273903906705211,13239174.15,-1.2083964559559142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07692307692307693,0.07735163
