Feature,Values
Cash and cash equivalents,"['170593', '449772']"
Total current assets,"['260948', '521680']"
"Property and equipment, net","['57643', '52299']"
Goodwill,"['418350', '61852']"
Total assets,"['1186830', '807354']"
Total current liabilities,"['155954', '68480']"
Total stockholders’ equity,"['711250', '705009']"
Total liabilities and stockholders’ equity,"['1186830', '807354']"
Net loss,"['(235222)', '(38330)', '(29423)']"
"Net loss per share, basic and diluted (in dollars per share)","['(3.83)', '(0.69)', '(0.60)']"
